NO_OF_FRAMES	919
NO_OF_DATA_TYPES	1
FREQUENCY	200
TIME_STAMP	2022-06-21, 12:21:53
DATA_INCLUDED	Angle
DATA_TYPES	R_knee_angle

Frame	Time	R_knee_angle	
555	2.77000	169.565
556	2.77500	169.608
557	2.78000	169.536
558	2.78500	169.353
559	2.79000	169.063
560	2.79500	168.647
561	2.80000	168.110
562	2.80500	167.441
563	2.81000	166.642
564	2.81500	165.814
565	2.82000	165.026
566	2.82500	164.367
567	2.83000	164.008
568	2.83500	163.963
569	2.84000	164.249
570	2.84500	164.446
571	2.85000	164.395
572	2.85500	164.058
573	2.86000	163.449
574	2.86500	162.571
575	2.87000	161.629
576	2.87500	160.778
577	2.88000	160.077
578	2.88500	159.483
579	2.89000	158.931
580	2.89500	158.440
581	2.90000	158.020
582	2.90500	157.663
583	2.91000	157.340
584	2.91500	157.019
585	2.92000	156.691
586	2.92500	156.442
587	2.93000	156.138
588	2.93500	155.862
589	2.94000	155.584
590	2.94500	155.415
591	2.95000	155.256
592	2.95500	154.709
593	2.96000	154.624
594	2.96500	154.674
595	2.97000	154.767
596	2.97500	154.890
597	2.98000	155.033
598	2.98500	155.300
599	2.99000	155.614
600	2.99500	155.934
601	3.00000	156.203
602	3.00500	156.334
603	3.01000	156.611
604	3.01500	156.962
605	3.02000	157.234
606	3.02500	157.599
607	3.03000	157.973
608	3.03500	158.421
609	3.04000	158.923
610	3.04500	159.470
611	3.05000	160.018
612	3.05500	160.566
613	3.06000	161.070
614	3.06500	161.154
615	3.07000	161.749
616	3.07500	162.375
617	3.08000	162.976
618	3.08500	163.529
619	3.09000	163.956
620	3.09500	164.366
621	3.10000	164.734
622	3.10500	165.066
623	3.11000	165.365
624	3.11500	165.666
625	3.12000	165.942
626	3.12500	166.213
627	3.13000	166.461
628	3.13500	166.710
629	3.14000	166.887
630	3.14500	167.146
631	3.15000	167.409
632	3.15500	167.667
633	3.16000	167.929
634	3.16500	168.226
635	3.17000	168.624
636	3.17500	168.870
637	3.18000	169.073
638	3.18500	169.256
639	3.19000	169.553
640	3.19500	169.809
641	3.20000	169.960
642	3.20500	170.140
643	3.21000	170.203
644	3.21500	170.327
645	3.22000	170.440
646	3.22500	170.550
647	3.23000	170.621
648	3.23500	170.646
649	3.24000	170.647
650	3.24500	170.604
651	3.25000	170.410
652	3.25500	170.354
653	3.26000	170.285
654	3.26500	170.210
655	3.27000	170.088
656	3.27500	169.953
657	3.28000	169.808
658	3.28500	169.628
659	3.29000	169.436
660	3.29500	169.167
661	3.30000	168.928
662	3.30500	168.656
663	3.31000	168.357
664	3.31500	168.034
665	3.32000	167.656
666	3.32500	167.258
667	3.33000	166.833
668	3.33500	166.372
669	3.34000	165.851
670	3.34500	165.320
671	3.35000	164.739
672	3.35500	164.136
673	3.36000	163.477
674	3.36500	162.791
675	3.37000	162.069
676	3.37500	161.309
677	3.38000	160.487
678	3.38500	159.574
679	3.39000	158.646
680	3.39500	157.679
681	3.40000	156.609
682	3.40500	155.485
683	3.41000	154.534
684	3.41500	153.326
685	3.42000	152.003
686	3.42500	150.541
687	3.43000	148.951
688	3.43500	147.303
689	3.44000	145.653
690	3.44500	143.972
691	3.45000	142.297
692	3.45500	140.646
693	3.46000	139.019
694	3.46500	137.451
695	3.47000	135.831
696	3.47500	134.220
697	3.48000	132.655
698	3.48500	131.133
699	3.49000	129.665
700	3.49500	128.269
701	3.50000	126.863
702	3.50500	125.447
703	3.51000	124.070
704	3.51500	122.907
705	3.52000	121.793
706	3.52500	120.802
707	3.53000	119.925
708	3.53500	119.169
709	3.54000	118.545
710	3.54500	117.982
711	3.55000	117.500
712	3.55500	117.081
713	3.56000	116.736
714	3.56500	116.446
715	3.57000	116.250
716	3.57500	116.122
717	3.58000	116.055
718	3.58500	116.107
719	3.59000	116.245
720	3.59500	116.445
721	3.60000	116.713
722	3.60500	117.157
723	3.61000	117.602
724	3.61500	118.143
725	3.62000	118.651
726	3.62500	119.462
727	3.63000	120.180
728	3.63500	121.034
729	3.64000	121.962
730	3.64500	122.957
731	3.65000	123.992
732	3.65500	125.134
733	3.66000	126.297
734	3.66500	127.520
735	3.67000	128.704
736	3.67500	130.062
737	3.68000	131.384
738	3.68500	132.720
739	3.69000	134.147
740	3.69500	135.618
741	3.70000	137.128
742	3.70500	138.678
743	3.71000	140.227
744	3.71500	141.925
745	3.72000	143.556
746	3.72500	145.191
747	3.73000	146.841
748	3.73500	148.508
749	3.74000	150.157
750	3.74500	151.803
751	3.75000	153.420
752	3.75500	155.064
753	3.76000	156.679
754	3.76500	158.245
755	3.77000	159.800
756	3.77500	161.425
757	3.78000	162.833
758	3.78500	164.179
759	3.79000	165.448
760	3.79500	166.625
761	3.80000	167.667
762	3.80500	168.585
763	3.81000	169.445
764	3.81500	170.121
765	3.82000	170.652
766	3.82500	171.062
767	3.83000	171.333
768	3.83500	171.470
769	3.84000	171.509
770	3.84500	171.447
771	3.85000	171.302
772	3.85500	171.072
773	3.86000	170.756
774	3.86500	170.352
775	3.87000	169.871
776	3.87500	169.315
777	3.88000	168.732
778	3.88500	168.168
779	3.89000	167.580
780	3.89500	167.223
781	3.90000	167.036
782	3.90500	167.004
783	3.91000	167.000
784	3.91500	166.916
785	3.92000	166.616
786	3.92500	166.108
787	3.93000	165.504
788	3.93500	164.816
789	3.94000	164.175
790	3.94500	163.594
791	3.95000	163.080
792	3.95500	162.614
793	3.96000	162.200
794	3.96500	161.812
795	3.97000	161.453
796	3.97500	161.115
797	3.98000	160.814
798	3.98500	160.570
799	3.99000	160.316
800	3.99500	159.999
801	4.00000	159.685
802	4.00500	159.342
803	4.01000	159.039
804	4.01500	158.794
805	4.02000	158.542
806	4.02500	158.514
807	4.03000	158.555
808	4.03500	158.681
809	4.04000	158.826
810	4.04500	159.017
811	4.05000	159.211
812	4.05500	159.398
